INFO 2026-02-06 09:04:56,676 autoreload Watching for file changes with StatReloader
INFO 2026-02-06 10:00:42,891 stt_service Saved uploaded audio: /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/media/uploads/audio_42aa486b4d65.webm
INFO 2026-02-06 10:00:42,972 stt_service Converted /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/media/uploads/audio_42aa486b4d65.webm to WAV format using ffmpeg
INFO 2026-02-06 10:00:45,840 stt_service Transcribed: what is mathematics...
INFO 2026-02-06 10:01:42,257 stt_service Saved uploaded audio: /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/media/uploads/audio_12241da38a48.webm
INFO 2026-02-06 10:01:42,713 stt_service Converted /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/media/uploads/audio_12241da38a48.webm to WAV format using ffmpeg
INFO 2026-02-06 10:01:45,888 stt_service Transcribed: his english at is bull crap...
INFO 2026-02-06 10:01:56,314 stt_service Saved uploaded audio: /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/media/uploads/audio_d1e92cfdbbd3.webm
INFO 2026-02-06 10:01:56,704 stt_service Converted /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/media/uploads/audio_d1e92cfdbbd3.webm to WAV format using ffmpeg
INFO 2026-02-06 10:02:01,260 stt_service Transcribed: what is too...
INFO 2026-02-07 06:33:57,125 autoreload Watching for file changes with StatReloader
INFO 2026-02-25 13:08:01,431 autoreload Watching for file changes with StatReloader
WARNING 2026-02-25 13:08:43,862 log Not Found: /favicon.ico
INFO 2026-02-25 13:14:28,403 autoreload Watching for file changes with StatReloader
WARNING 2026-02-25 13:15:29,821 log Not Found: /favicon.ico
INFO 2026-02-25 13:23:58,887 autoreload Watching for file changes with StatReloader
WARNING 2026-02-25 13:24:24,055 log Not Found: /favicon.ico
INFO 2026-02-25 13:32:01,980 autoreload Watching for file changes with StatReloader
WARNING 2026-02-25 13:36:13,917 log Not Found: /favicon.ico
INFO 2026-02-25 13:42:12,125 autoreload /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/lokal_backend/settings.py changed, reloading.
INFO 2026-02-25 13:42:23,211 autoreload Watching for file changes with StatReloader
INFO 2026-02-25 13:42:39,715 autoreload Watching for file changes with StatReloader
INFO 2026-02-25 13:43:05,530 autoreload Watching for file changes with StatReloader
INFO 2026-02-25 13:47:40,865 autoreload /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/venv/lib/python3.13/site-packages/sslserver/management/commands/runsslserver.py changed, reloading.
INFO 2026-02-25 13:47:48,881 autoreload Watching for file changes with StatReloader
INFO 2026-02-25 13:48:08,320 autoreload Watching for file changes with StatReloader
INFO 2026-02-25 13:48:24,813 autoreload Watching for file changes with StatReloader
WARNING 2026-02-25 13:52:40,719 log Not Found: /favicon.ico
INFO 2026-02-25 14:09:42,972 autoreload /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/lokal_backend/settings.py changed, reloading.
INFO 2026-02-25 14:09:45,854 autoreload Watching for file changes with StatReloader
INFO 2026-02-25 14:19:19,195 autoreload /Users/stephen/Documents/[00] School Works/4th Year/2nd Sem/It major 4/lokal v3 (previous)/lokal_backend/settings.py changed, reloading.
INFO 2026-02-25 14:19:23,239 autoreload Watching for file changes with StatReloader
